Id,Question,Answer,Key-Words,Location,Target
297,Karpuzlu'da hangi otobüsler durmaktadır?,Karpuzlu'ya 606 numaralı otobüs ile gidilmektedir.,"karpuzlu, hangi, otobüs",,
298,Karpuzlu'da kaç numaralı otobüsler durmaktadır?,Karpuzlu'ya 606 numaralı otobüs ile gidilmektedir.,"karpuzlu, kaç, numara",,
299,Koçarlı'ya nasıl gidebilirim?,Koçarlı'ya 606 numaralı otobüs ile gidilmektedir.,"koçarlı, nasıl",,
300,Koçarlı'ya nereden gidebilirim?,Koçarlı'ya 606 numaralı otobüs ile gidilmektedir.,"koçarlı, nereden",,
301,Koçarlı'dan geçen otobüs nedir?,Koçarlı'ya 606 numaralı otobüs ile gidilmektedir.,"koçarlı, otobüs",,
302,Koçarlı'nın otobüsü nedir?,Koçarlı'ya 606 numaralı otobüs ile gidilmektedir.,"koçarlı, otobüs",,
303,Koçarlı'ya ne ile gidebilirim?,Koçarlı'ya 606 numaralı otobüs ile gidilmektedir.,"koçarlı, ne, ile",,
304,Koçarlı'nın hatları nedir?,Koçarlı'ya 606 numaralı otobüs ile gidilmektedir.,"koçarlı, hat",,
305,Koçarlı'dan geçen numaralar nelerdir?,Koçarlı'ya 606 numaralı otobüs ile gidilmektedir.,"koçarlı, geçen, numara",,
306,Koçarlı'da hangi otobüsler durmaktadır?,Koçarlı'ya 606 numaralı otobüs ile gidilmektedir.,"koçarlı, hangi, otobüs",,
307,Koçarlı'da kaç numaralı otobüsler durmaktadır?,Koçarlı'ya 606 numaralı otobüs ile gidilmektedir.,"koçarlı, kaç, numara",,
308,İncirliova'ya nasıl gidebilirim?,İncirliova'ya 606 numaralı otobüs ile gidilmektedir.,"incirliova, nasıl",,
309,İncirliova'ya nereden gidebilirim?,İncirliova'ya 606 numaralı otobüs ile gidilmektedir.,"incirliova, nereden",,
310,İncirliova'dan geçen otobüs nedir?,İncirliova'ya 606 numaralı otobüs ile gidilmektedir.,"incirliova, otobüs",,
311,İncirliova'nın otobüsü nedir?,İncirliova'ya 606 numaralı otobüs ile gidilmektedir.,"incirliova, otobüs",,
312,İncirliova'ya ne ile gidebilirim?,İncirliova'ya 606 numaralı otobüs ile gidilmektedir.,"incirliova, ne, ile",,
313,İncirliova'nın hatları nedir?,İncirliova'ya 606 numaralı otobüs ile gidilmektedir.,"incirliova, hat",,
314,İncirliova'dan geçen numaralar nelerdir?,İncirliova'ya 606 numaralı otobüs ile gidilmektedir.,"incirliova, geçen, numara",,
315,İncirliova'da hangi otobüsler durmaktadır?,İncirliova'ya 606 numaralı otobüs ile gidilmektedir.,"incirliova, hangi, otobüs",,
316,İncirliova'da kaç numaralı otobüsler durmaktadır?,İncirliova'ya 606 numaralı otobüs ile gidilmektedir.,"incirliova, kaç, numara",,
317,Söke'ye nasıl gidebilirim?,Söke'ye 606 numaralı otobüs ile gidilmektedir.,"söke, nasıl",,
318,Söke'ye nereden gidebilirim?,Söke'ye 606 numaralı otobüs ile gidilmektedir.,"söke, nereden",,
319,Söke'den geçen otobüs nedir?,Söke'ye 606 numaralı otobüs ile gidilmektedir.,"söke, otobüs",,
320,Söke'nin otobüsü nedir?,Söke'ye 606 numaralı otobüs ile gidilmektedir.,"söke, otobüs",,
321,Söke'ye ne ile gidebilirim?,Söke'ye 606 numaralı otobüs ile gidilmektedir.,"söke, ne, ile",,
322,Söke'nin hatları nedir?,Söke'ye 606 numaralı otobüs ile gidilmektedir.,"söke, hat",,
323,Söke'den geçen numaralar nelerdir?,Söke'ye 606 numaralı otobüs ile gidilmektedir.,"söke, geçen, numara",,
324,Söke'de hangi otobüsler durmaktadır?,Söke'ye 606 numaralı otobüs ile gidilmektedir.,"söke, hangi, otobüs",,
325,Söke'de kaç numaralı otobüsler durmaktadır?,Söke'ye 606 numaralı otobüs ile gidilmektedir.,"söke, kaç, numara",,
326,Kuşadası'na nasıl gidebilirim?,Kuşadası'na 606 numaralı otobüs ile gidilmektedir.,"kuşadası, nasıl",,
327,Kuşadası'na nereden gidebilirim?,Kuşadası'na 606 numaralı otobüs ile gidilmektedir.,"kuşadası, nereden",,
328,Kuşadası'ndan geçen otobüs nedir?,Kuşadası'na 606 numaralı otobüs ile gidilmektedir.,"kuşadası, otobüs",,
329,Kuşadası'nın otobüsü nedir?,Kuşadası'na 606 numaralı otobüs ile gidilmektedir.,"kuşadası, otobüs",,
330,Kuşadası'na ne ile gidebilirim?,Kuşadası'na 606 numaralı otobüs ile gidilmektedir.,"kuşadası, ne, ile",,
331,Kuşadası'nın hatları nedir?,Kuşadası'na 606 numaralı otobüs ile gidilmektedir.,"kuşadası, hat",,
332,Kuşadası'ndan geçen numaralar nelerdir?,Kuşadası'na 606 numaralı otobüs ile gidilmektedir.,"kuşadası, geçen, numara",,
333,Kuşadası'nda hangi otobüsler durmaktadır?,Kuşadası'na 606 numaralı otobüs ile gidilmektedir.,"kuşadası, hangi, otobüs",,
334,Kuşadası'nda kaç numaralı otobüsler durmaktadır?,Kuşadası'na 606 numaralı otobüs ile gidilmektedir.,"kuşadası, kaç, numara",,
335,Köşk'e nasıl gidebilirim?,Köşk'e 607 numaralı otobüs ile gidilmektedir.,"köşk, nasıl",,
336,Köşk'e nereden gidebilirim?,Köşk'e 607 numaralı otobüs ile gidilmektedir.,"köşk, nereden",,
337,Köşk'ten geçen otobüs nedir?,Köşk'e 607 numaralı otobüs ile gidilmektedir.,"köşk, otobüs",,
338,Köşk'ün otobüsü nedir?,Köşk'e 607 numaralı otobüs ile gidilmektedir.,"köşk, otobüs",,
339,Köşk'e ne ile gidebilirim?,Köşk'e 607 numaralı otobüs ile gidilmektedir.,"köşk, ne, ile",,
340,Köşk'ün hatları nedir?,Köşk'e 607 numaralı otobüs ile gidilmektedir.,"köşk, hat",,
341,Köşk'ten geçen numaralar nelerdir?,Köşk'e 607 numaralı otobüs ile gidilmektedir.,"köşk, geçen, numara",,
342,Köşk'te hangi otobüsler durmaktadır?,Köşk'e 607 numaralı otobüs ile gidilmektedir.,"köşk, hangi, otobüs",,
343,Köşk'te kaç numaralı otobüsler durmaktadır?,Köşk'e 607 numaralı otobüs ile gidilmektedir.,"köşk, kaç, numara",,
344,Germencik'e nasıl gidebilirim?,Germencik'e 607 numaralı otobüs ile gidilmektedir.,"germencik, nasıl",,
345,Germencik'e nereden gidebilirim?,Germencik'e 607 numaralı otobüs ile gidilmektedir.,"germencik, nereden",,
346,Germencik'ten geçen otobüs nedir?,Germencik'e 607 numaralı otobüs ile gidilmektedir.,"germencik, otobüs",,
347,Germencik'in otobüsü nedir?,Germencik'e 607 numaralı otobüs ile gidilmektedir.,"germencik, otobüs",,
348,Germencik'e ne ile gidebilirim?,Germencik'e 607 numaralı otobüs ile gidilmektedir.,"germencik, ne, ile",,
349,Germencik'in hatları nedir?,Germencik'e 607 numaralı otobüs ile gidilmektedir.,"germencik, hat",,
350,Germencik'ten geçen numaralar nelerdir?,Germencik'e 607 numaralı otobüs ile gidilmektedir.,"germencik, geçen, numara",,
351,Germencik'te hangi otobüsler durmaktadır?,Germencik'e 607 numaralı otobüs ile gidilmektedir.,"germencik, hangi, otobüs",,
352,Germencik'te kaç numaralı otobüsler durmaktadır?,Germencik'e 607 numaralı otobüs ile gidilmektedir.,"germencik, kaç, numara",,
353,Efeler'e nasıl gidebilirim?,Efeler'e 607 numaralı otobüs ile gidilmektedir.,"efeler, nasıl",,
354,Efeler'e nereden gidebilirim?,Efeler'e 607 numaralı otobüs ile gidilmektedir.,"efeler, nereden",,
355,Efeler'den geçen otobüs nedir?,Efeler'e 607 numaralı otobüs ile gidilmektedir.,"efeler, otobüs",,
356,Efeler'in otobüsü nedir?,Efeler'e 607 numaralı otobüs ile gidilmektedir.,"efeler, otobüs",,
357,Efeler'e ne ile gidebilirim?,Efeler'e 607 numaralı otobüs ile gidilmektedir.,"efeler, ne, ile",,
358,Efeler'in hatları nedir?,Efeler'e 607 numaralı otobüs ile gidilmektedir.,"efeler, hat",,
359,Efeler'den geçen numaralar nelerdir?,Efeler'e 607 numaralı otobüs ile gidilmektedir.,"efeler, geçen, numara",,
360,Efeler'de hangi otobüsler durmaktadır?,Efeler'e 607 numaralı otobüs ile gidilmektedir.,"efeler, hangi, otobüs",,
361,Efeler'de kaç numaralı otobüsler durmaktadır?,Efeler'e 607 numaralı otobüs ile gidilmektedir.,"efeler, kaç, numara",,
362,Bozdoğan'a nasıl gidebilirim?,Bozdoğan'a 607 numaralı otobüs ile gidilmektedir.,"bozdoğan, nasıl",,
363,Bozdoğan'a nereden gidebilirim?,Bozdoğan'a 607 numaralı otobüs ile gidilmektedir.,"bozdoğan, nereden",,
364,Bozdoğan'dan geçen otobüs nedir?,Bozdoğan'a 607 numaralı otobüs ile gidilmektedir.,"bozdoğan, otobüs",,
365,Bozdoğan'ın otobüsü nedir?,Bozdoğan'a 607 numaralı otobüs ile gidilmektedir.,"bozdoğan, otobüs",,
366,Bozdoğan'a ne ile gidebilirim?,Bozdoğan'a 607 numaralı otobüs ile gidilmektedir.,"bozdoğan, ne, ile",,
367,Bozdoğan'ın hatları nedir?,Bozdoğan'a 607 numaralı otobüs ile gidilmektedir.,"bozdoğan, hat",,
368,Bozdoğan'dan geçen numaralar nelerdir?,Bozdoğan'a 607 numaralı otobüs ile gidilmektedir.,"bozdoğan, geçen, numara",,
369,Bozdoğan'da hangi otobüsler durmaktadır?,Bozdoğan'a 607 numaralı otobüs ile gidilmektedir.,"bozdoğan, hangi, otobüs",,
370,Bozdoğan'da kaç numaralı otobüsler durmaktadır?,Bozdoğan'a 607 numaralı otobüs ile gidilmektedir.,"bozdoğan, kaç, numara",,
371,Çine'ye nasıl gidebilirim?,Çine'ye 607 numaralı otobüs ile gidilmektedir.,"çine, nasıl",,
372,Çine'ye nereden gidebilirim?,Çine'ye 607 numaralı otobüs ile gidilmektedir.,"çine, nereden",,
373,Çine'den geçen otobüs nedir?,Çine'ye 607 numaralı otobüs ile gidilmektedir.,"çine, otobüs",,
374,Çine'nin otobüsü nedir?,Çine'ye 607 numaralı otobüs ile gidilmektedir.,"çine, otobüs",,
375,Çine'ye ne ile gidebilirim?,Çine'ye 607 numaralı otobüs ile gidilmektedir.,"çine, ne, ile",,
376,Çine'nin hatları nedir?,Çine'ye 607 numaralı otobüs ile gidilmektedir.,"çine, hat",,
377,Çine'den geçen numaralar nelerdir?,Çine'ye 607 numaralı otobüs ile gidilmektedir.,"çine, geçen, numara",,
378,Çine'de hangi otobüsler durmaktadır?,Çine'ye 607 numaralı otobüs ile gidilmektedir.,"çine, hangi, otobüs",,
379,Çine'de kaç numaralı otobüsler durmaktadır?,Çine'ye 607 numaralı otobüs ile gidilmektedir.,"çine, kaç, numara",,
380,Yeni Pazar'a nasıl gidebilirim?,Yeni Pazar'a 608 numaralı otobüs ile gidilmektedir.,"yeni, pazar, nasıl",,
381,Yeni Pazar'a nereden gidebilirim?,Yeni Pazar'a 608 numaralı otobüs ile gidilmektedir.,"yeni, pazar, nereden",,
382,Yeni Pazar'dan geçen otobüs nedir?,Yeni Pazar'a 608 numaralı otobüs ile gidilmektedir.,"yeni, pazar, otobüs",,
383,Yeni Pazar'ın otobüsü nedir?,Yeni Pazar'a 608 numaralı otobüs ile gidilmektedir.,"yeni, pazar, otobüs",,
384,Yeni Pazar'a ne ile gidebilirim?,Yeni Pazar'a 608 numaralı otobüs ile gidilmektedir.,"yeni, pazar, ne, ile",,
385,Yeni Pazar'ın hatları nedir?,Yeni Pazar'a 608 numaralı otobüs ile gidilmektedir.,"yeni, pazar, hat",,
386,Yeni Pazar'dan geçen numaralar nelerdir?,Yeni Pazar'a 608 numaralı otobüs ile gidilmektedir.,"yeni, pazar, geçen, numara",,
387,Yeni Pazar'da hangi otobüsler durmaktadır?,Yeni Pazar'a 608 numaralı otobüs ile gidilmektedir.,"yeni, pazar, hangi, otobüs",,
388,Yeni Pazar'da kaç numaralı otobüsler durmaktadır?,Yeni Pazar'a 608 numaralı otobüs ile gidilmektedir.,"yeni, pazar, kaç, numara",,
389,Nazilli'ye nasıl gidebilirim?,Nazilli'ye 608 numaralı otobüs ile gidilmektedir.,"nazilli, nasıl",,
390,Nazilli'ye nereden gidebilirim?,Nazilli'ye 608 numaralı otobüs ile gidilmektedir.,"nazilli, nereden",,
391,Nazilli'den geçen otobüs nedir?,Nazilli'ye 608 numaralı otobüs ile gidilmektedir.,"nazilli, otobüs",,
392,Nazilli'nin otobüsü nedir?,Nazilli'ye 608 numaralı otobüs ile gidilmektedir.,"nazilli, otobüs",,
393,Nazilli'ye ne ile gidebilirim?,Nazilli'ye 608 numaralı otobüs ile gidilmektedir.,"nazilli, ne, ile",,
394,Nazilli'nin hatları nedir?,Nazilli'ye 608 numaralı otobüs ile gidilmektedir.,"nazilli, hat",,
395,Nazilli'den geçen numaralar nelerdir?,Nazilli'ye 608 numaralı otobüs ile gidilmektedir.,"nazilli, geçen, numara",,
396,Nazilli'de hangi otobüsler durmaktadır?,Nazilli'ye 608 numaralı otobüs ile gidilmektedir.,"nazilli, hangi, otobüs",,
397,Nazilli'de kaç numaralı otobüsler durmaktadır?,Nazilli'ye 608 numaralı otobüs ile gidilmektedir.,"nazilli, kaç, numara",,
398,Sultan Hisar'a nasıl gidebilirim?,Sultan Hisar'a 608 numaralı otobüs ile gidilmektedir.,"sultan, hisar, nasıl",,
399,Sultan Hisar'a nereden gidebilirim?,Sultan Hisar'a 608 numaralı otobüs ile gidilmektedir.,"sultan, hisar, nereden",,
400,Sultan Hisar'dan geçen otobüs nedir?,Sultan Hisar'a 608 numaralı otobüs ile gidilmektedir.,"sultan, hisar, otobüs",,
401,Sultan Hisar'ın otobüsü nedir?,Sultan Hisar'a 608 numaralı otobüs ile gidilmektedir.,"sultan, hisar, otobüs",,
402,Sultan Hisar'a ne ile gidebilirim?,Sultan Hisar'a 608 numaralı otobüs ile gidilmektedir.,"sultan, hisar, ne, ile",,
403,Sultan Hisar'ın hatları nedir?,Sultan Hisar'a 608 numaralı otobüs ile gidilmektedir.,"sultan, hisar, hat",,
404,Sultan Hisar'dan geçen numaralar nelerdir?,Sultan Hisar'a 608 numaralı otobüs ile gidilmektedir.,"sultan, hisar, geçen, numara",,
405,Sultan Hisar'da hangi otobüsler durmaktadır?,Sultan Hisar'a 608 numaralı otobüs ile gidilmektedir.,"sultan, hisar, hangi, otobüs",,
406,Sultan Hisar'da kaç numaralı otobüsler durmaktadır?,Sultan Hisar'a 608 numaralı otobüs ile gidilmektedir.,"sultan, hisar, kaç, numara",,
407,Kuyucak'a nasıl gidebilirim?,Kuyucak'a 608 numaralı otobüs ile gidilmektedir.,"kuyucak, nasıl",,
408,Kuyucak'a nereden gidebilirim?,Kuyucak'a 608 numaralı otobüs ile gidilmektedir.,"kuyucak, nereden",,
409,Kuyucak'tan geçen otobüs nedir?,Kuyucak'a 608 numaralı otobüs ile gidilmektedir.,"kuyucak, otobüs",,
410,Kuyucak'ın otobüsü nedir?,Kuyucak'a 608 numaralı otobüs ile gidilmektedir.,"kuyucak, otobüs",,
411,Kuyucak'a ne ile gidebilirim?,Kuyucak'a 608 numaralı otobüs ile gidilmektedir.,"kuyucak, ne, ile",,
412,Kuyucak'ın hatları nedir?,Kuyucak'a 608 numaralı otobüs ile gidilmektedir.,"kuyucak, hat",,
413,Kuyucak'tan geçen numaralar nelerdir?,Kuyucak'a 608 numaralı otobüs ile gidilmektedir.,"kuyucak, geçen, numara",,
414,Kuyucak'ta hangi otobüsler durmaktadır?,Kuyucak'a 608 numaralı otobüs ile gidilmektedir.,"kuyucak, hangi, otobüs",,
415,Kuyucak'ta kaç numaralı otobüsler durmaktadır?,Kuyucak'a 608 numaralı otobüs ile gidilmektedir.,"kuyucak, kaç, numara",,
416,Karacasu'ya nasıl gidebilirim?,Karacasu'ya 608 numaralı otobüs ile gidilmektedir.,"karacasu, nasıl",,
417,Karacasu'ya nereden gidebilirim?,Karacasu'ya 608 numaralı otobüs ile gidilmektedir.,"karacasu, nereden",,
418,Karacasu'dan geçen otobüs nedir?,Karacasu'ya 608 numaralı otobüs ile gidilmektedir.,"karacasu, otobüs",,
419,Karacasu'nun otobüsü nedir?,Karacasu'ya 608 numaralı otobüs ile gidilmektedir.,"karacasu, otobüs",,
420,Karacasu'ya ne ile gidebilirim?,Karacasu'ya 608 numaralı otobüs ile gidilmektedir.,"karacasu, ne, ile",,
421,Karacasu'nun hatları nedir?,Karacasu'ya 608 numaralı otobüs ile gidilmektedir.,"karacasu, hat",,
422,Karacasu'dan geçen numaralar nelerdir?,Karacasu'ya 608 numaralı otobüs ile gidilmektedir.,"karacasu, geçen, numara",,
423,Karacasu'da hangi otobüsler durmaktadır?,Karacasu'ya 608 numaralı otobüs ile gidilmektedir.,"karacasu, hangi, otobüs",,
424,Karacasu'da kaç numaralı otobüsler durmaktadır?,Karacasu'ya 608 numaralı otobüs ile gidilmektedir.,"karacasu, kaç, numara",,
425,605 astim e ne kadar?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","605, astim, ne, kadar",,
426,605 numara astim e ne kadar?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","605, astim, numara, ne, kadar",,
427,605 numaralı otobüs astim e ne kadar?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","605, astim, otobüs, ne, kadar",,
428,605 astim e fiyat ne kadar?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","605, astim, fiyat",,
429,605 numara astim fiyat ne kadar?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","605, astim, numara, fiyat",,
430,605 numara astim fiyatı nedir?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","605, astim, numara, fiyat",,
431,605 numaralı otobüsün astim fiyatı ne kadar?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","605, astim, otobüs, fiyat",,
432,605 numaralı otobüsün astim fiyatı nedir?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","605, astim, otobüs, fiyat",,
433,605 astim ücret ne kadar?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","605, astim, ücret",,
434,605 numara astim ücreti ne kadar?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","605, astim, numara, ücret",,
435,605 numara astim ücreti nedir?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","605, astim, numara, ücret",,
436,605 numaralı otobüsün astim ücreti ne kadar?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","605, astim, otobüs, ücret",,
437,605 numaralı otobüsün astim ücreti nedir?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","605, astim, otobüs, ücret",,
438,Adü-astim arası ne kadar?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","adü, astim, ne, kadar",,
439,Adü-astim arası fiyat nedir?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","adü, astim, fiyat",,
440,Adü-astim arası ücret nedir?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","adü, astim, ücret",,
441,Adü-astim arası otobüs ne kadar?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","adü, astim, otobüs, ne, kadar",,
442,Adü-astim arası otobüs ücreti ne kadar?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","adü, astim, otobüs, ücret",,
443,Adü-astim arası otobüs ücreti nedir?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","adü, astim, otobüs, ücret",,
444,Adü-astim arası otobüs fiyatı ne kadar?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","adü, astim, otobüs, fiyat",,
445,Adü-astim arası otobüs fiyatı nedir?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","adü, astim, otobüs, fiyat",,
446,Adü-astim arası tam ne kadar?,Adü ile Astim Organize Sanayi arası tam ücret 2.75 liradır.,"adü, astim, tam, ne, kadar",,
447,Adü-astim arası tam ücreti ne kadar?,Adü ile Astim Organize Sanayi arası tam ücret 2.75 liradır.,"adü, astim, tam, ücret",,
448,Adü-astim arası tam ücreti nedir?,Adü ile Astim Organize Sanayi arası tam ücret 2.75 liradır.,"adü, astim, tam, ücret",,
449,Adü-astim arası tam fiyatı ne kadar?,Adü ile Astim Organize Sanayi arası tam ücret 2.75 liradır.,"adü, astim, tam, fiyat",,
450,Adü-astim arası tam fiyatı nedir?,Adü ile Astim Organize Sanayi arası tam ücret 2.75 liradır.,"adü, astim, tam, fiyat",,
451,Adü-astim arası indirimli ne kadar?,Adü ile Astim Organize Sanayi arası indirimli ücret 2 liradır.,"adü, astim, indirimli, ne, kadar",,
452,Adü-astim arası indirimli ücreti ne kadar?,Adü ile Astim Organize Sanayi arası indirimli ücret 2 liradır.,"adü, astim, indirimli, ücret",,
453,Adü-astim arası indirimli ücreti nedir?,Adü ile Astim Organize Sanayi arası indirimli ücret 2 liradır.,"adü, astim, indirimli, ücret",,
454,Adü-astim arası indirimli fiyatı ne kadar?,Adü ile Astim Organize Sanayi arası indirimli ücret 2 liradır.,"adü, astim, indirimli, fiyat",,
455,Adü-astim arası indirimli fiyatı nedir?,Adü ile Astim Organize Sanayi arası indirimli ücret 2 liradır.,"adü, astim, indirimli, fiyat",,
456,Adü-astim arası engelli ne kadar?,Adü ile Astim Organize Sanayi arası engelli ücreti 2 liradır.,"adü, astim, engelli, ne, kadar",,
457,Adü-astim arası engelli ücreti ne kadar?,Adü ile Astim Organize Sanayi arası engelli ücreti 2 liradır.,"adü, astim, engelli, ücret",,
458,Adü-astim arası engelli ücreti nedir?,Adü ile Astim Organize Sanayi arası engelli ücreti 2 liradır.,"adü, astim, engelli, ücret",,
459,Adü-astim arası engelli fiyatı ne kadar?,Adü ile Astim Organize Sanayi arası engelli ücreti 2 liradır.,"adü, astim, engelli, fiyat",,
460,Adü-astim arası engelli fiyatı nedir?,Adü ile Astim Organize Sanayi arası engelli ücreti 2 liradır.,"adü, astim, engelli, fiyat",,
461,Adü-astim arası öğrenci ne kadar?,Adü ile Astim Organize Sanayi arası öğrenci ücreti 2 liradır.,"adü, astim, öğrenci, ne, kadar",,
462,Adü-astim arası öğrenci ücreti ne kadar?,Adü ile Astim Organize Sanayi arası öğrenci ücreti 2 liradır.,"adü, astim, öğrenci, ücret",,
463,Adü-astim arası öğrenci ücreti nedir?,Adü ile Astim Organize Sanayi arası öğrenci ücreti 2 liradır.,"adü, astim, öğrenci, ücret",,
464,Adü-astim arası öğrenci fiyatı ne kadar?,Adü ile Astim Organize Sanayi arası öğrenci ücreti 2 liradır.,"adü, astim, öğrenci, fiyat",,
465,Adü-astim arası öğrenci fiyatı nedir?,Adü ile Astim Organize Sanayi arası öğrenci ücreti 2 liradır.,"adü, astim, öğrenci, fiyat",,
466,605 organize ye ne kadar?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","605, organize, ne, kadar",,
467,605 numara organize ye ne kadar?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","605, organize, numara, ne, kadar",,
468,605 numaralı otobüs organize ye ne kadar?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","605, organize, otobüs, ne, kadar",,
469,605 organize ye fiyat ne kadar?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","605, organize, fiyat",,
470,605 numara organize fiyat ne kadar?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","605, organize, numara, fiyat",,
471,605 numara organize fiyatı nedir?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","605, organize, numara, fiyat",,
472,605 numaralı otobüs organize fiyat ne kadar?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","605, organize, otobüs, fiyat",,
473,605 numaralı otobüs organize fiyatı nedir?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","605, organize, otobüs, fiyat",,
474,605 organize ücret ne kadar?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","605, organize, ücret",,
475,605 numara organize ücreti ne kadar?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","605, organize, numara, ücret",,
476,605 numara organize ücreti nedir?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","605, organize, numara, ücret",,
477,605 numaralı otobüs organize ücreti ne kadar?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","605, organize, otobüs, ücret",,
478,605 numaralı otobüs organize ücreti nedir?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","605, organize, otobüs, ücret",,
479,Adü- organize arası ne kadar?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","adü, organize, ne, kadar",,
480,Adü- organize arası fiyat nedir?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","adü, organize, fiyat",,
481,Adü- organize arası ücret nedir?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","adü, organize, ücret",,
482,Adü-organize arası otobüs ne kadar?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","adü, organize, otobüs, ne, kadar",,
483,Adü- organize arası otobüs ücreti ne kadar?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","adü, organize, otobüs, ücret",,
484,Adü- organize arası otobüs ücreti nedir?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","adü, organize, otobüs, ücret",,
485,Adü- organize arası otobüs fiyatı ne kadar?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","adü, organize, otobüs, fiyat",,
486,Adü- organize arası otobüs fiyatı nedir?,"Adü ile Astim Organize Sanayi arası tam ücret 2.75 lira, indirimli ücret 2 liradır.","adü, organize, otobüs, fiyat",,
487,Adü- organize arası tam ne kadar?,Adü ile Astim Organize Sanayi arası tam ücret 2.75 liradır.,"adü, organize, tam, ne, kadar",,
488,Adü- organize arası tam ücreti ne kadar?,Adü ile Astim Organize Sanayi arası tam ücret 2.75 liradır.,"adü, organize, tam, ücret",,
489,Adü- organize arası tam fiyatı ne kadar?,Adü ile Astim Organize Sanayi arası tam ücret 2.75 liradır.,"adü, organize, tam, fiyat",,
490,Adü- organize arası tam fiyatı nedir?,Adü ile Astim Organize Sanayi arası tam ücret 2.75 liradır.,"adü, organize, tam, fiyat",,
491,Adü- organize arası indirimli ne kadar?,Adü ile Astim Organize Sanayi arası indirimli ücret 2 liradır.,"adü, organize, indirimli, ne, kadar",,
492,Adü- organize arası indirimli ücreti ne kadar?,Adü ile Astim Organize Sanayi arası indirimli ücret 2 liradır.,"adü, organize, indirimli, ücret",,
